ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,45,59839,412,Employed,,22,33151,12,Widowed,0,Mortgage,632,0.3042492668796575,6,2,0.2066797544541057,0,Debt Consolidation,0,20,18,6292,709,24102,186743,4986.583333333333,0.9052887576009376,7,3303,0.292151,0.2487767553298113,3148.842849296187,0.7582030814611582,0,73.0
2018-01-02,38,51991,593,Employed,High School,16,37321,96,Single,1,Own,698,0.6468766163787436,2,,0.1110523667392845,0,Debt Consolidation,,27,17,1505,1063,106615,35794,,0.8820837781654547,2,70821,0.275821,0.306325014139423,1045.6957801403305,0.4024609905884473,0,72.0
2018-01-03,47,46830,527,Unemployed,High School,26,28391,96,Divorced,4,Mortgage,546,,4,,0.0687703760919315,0,Home,0,21,21,2361,976,134922,68908,3902.5,0.7367150708843617,6,66014,0.299891,0.2961131737611865,,0.3385638620830636,0,74.0
2018-01-04,58,76480,668,Employed,Doctorate,38,12829,60,Single,0,Mortgage,,0.095720144313498,0,1,0.1324469342875215,0,Other,0,,23,1044,1777,188660,13440,,0.5972259862375277,6,175220,,,337.8788256388072,0.1071462592529509,1,44.8
2018-01-05,37,17718,590,Employed,High School,9,26584,36,Married,0,Mortgage,469,0.4042130478598457,3,0,0.2443117160026824,1,Other,0,27,7,4849,450,35353,19927,1476.5,0.7480571417646075,7,,0.216584,,,0.9871453970521906,0,97.0
2018-01-06,37,247476,628,Employed,,,13053,36,Single,2,Rent,286,0.0971141975393317,2,1,0.3666958701904906,0,Education,0,25,,7026,1535,26164,55300,20623.0,,,2717,0.184053,0.1845762338921018,474.8991529227255,0.0368956579024742,1,56.0
2018-01-07,58,,602,Employed,Master,39,11702,36,Married,,,479,0.6164303101518205,2,0,0.6357212485974368,1,Home,0,29,13,1637,,53251,,3609.3333333333335,0.8100348896429267,,40987,0.195702,0.1733228257068393,419.1459633276719,,0,100.0
2018-01-08,49,64305,574,Employed,Bachelor,24,16150,84,Divorced,0,Own,383,0.3952417775665383,2,0,0.4699897776877147,0,Auto,0,18,14,5299,10263,70688,,5358.75,0.8584625946416934,4,28252,0.25415,0.220829787204722,379.1569427257141,0.1422266279870705,0,79.0
2018-01-09,34,31403,589,Employed,Associate,10,20990,36,Single,4,Mortgage,516,0.3384632812255079,3,,,0,Education,,,26,5815,2146,90933,15304,2616.9166666666665,0.8511664443247933,,75629,0.21149,0.2137756061968405,794.8744928664743,0.500923284858061,0,73.0
2018-01-10,46,15246,552,Employed,Doctorate,,12075,24,Married,2,Mortgage,320,,5,0,0.0893066849217921,0,Debt Consolidation,0,14,13,8064,803,87816,,,0.8547790653702817,3,57261,,0.210233095290471,620.6199920540435,0.7403541850090858,0,72.0
2018-01-11,34,32778,621,Employed,,,34397,36,Divorced,3,Rent,659,0.5352157290715513,5,3,0.4049806282338571,,Education,0,,19,2093,765,,16537,2731.5,0.8194716426243913,4,28821,0.208897,0.1917245328516437,1263.858272845244,0.7039569001813085,0,79.0
2018-01-12,34,,580,Employed,Associate,10,15449,36,Single,0,Rent,413,0.3593285046744601,4,0,0.1322578354921703,0,Debt Consolidation,0,30,,827,342,,25014,1427.0833333333333,0.8149221283855231,6,121351,0.210449,0.2068455690297625,579.5429881468507,0.6955045756357494,0,70.0
2018-01-13,42,,576,Employed,Bachelor,20,21675,60,Divorced,,,366,0.4962961028430441,6,1,0.1968446800311219,0,,,,18,2258,5018,19442,33401,7727.916666666667,,4,2713,,0.2532661870570384,640.3470516142369,,1,56.0
2018-01-14,18,35227,610,Self-Employed,Doctorate,0,27559,48,Married,0,Rent,,0.1790239571476063,2,0,0.2236991990711416,0,Home,0,27,,12172,1959,364620,14857,2935.583333333333,0.7367653549062567,4,,0.217559,0.2428413510685135,902.808430352924,0.5081812576783458,0,73.0
2018-01-15,19,32802,566,Employed,Doctorate,0,55444,36,Married,1,,902,0.1568722046606306,2,1,0.1262690495296178,0,Other,0,26,15,2998,,266689,4654,2733.5,,2,,0.257444,0.2739160446536133,,1.1623111579413066,0,64.0
